"Reference","Value","Footprint","Quantity","DNP","ELDSGN_id","MPN","LCSC"
"C101","47uF/63V","Capacitor_THT:CP_Axial_L11.0mm_D6.0mm_P18.00mm_Horizontal","1","","","",""
"C102","47uF","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","1","","","",""
"C103","10uF","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","1","","","",""
"C104","47uF/20V","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","1","","","",""
"C105","10uF","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","1","","","",""
"C201","15nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","","","",""
"C202","150nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","","","",""
"C203","4.7nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","","","",""
"C204","820pF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","","","",""
"C301","15nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","","","",""
"C302","150nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","","","",""
"C303","4.7nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","","","",""
"C304","820pF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","","","",""
"D101","1N4007","Diode_THT:D_DO-41_SOD81_P12.70mm_Horizontal","1","","","",""
"D201","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","","","",""
"D202","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","","","",""
"D203","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","","","",""
"D204","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","","","",""
"D301","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","","","",""
"D302","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","","","",""
"D303","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","","","",""
"D304","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","","","",""
"P101","CONN_2","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree","1","","","",""
"P102","CONN_2","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree","1","","","",""
"P201","CONN_2","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree","1","","","",""
"P202","CONN_2","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree","1","","","",""
"P301","CONN_2","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree","1","","","",""
"P302","CONN_2","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree","1","","","",""
"Q201","MPSA92","Package_TO_SOT_THT:TO-92_HandSolder","1","","","",""
"Q202","MPSA42","Package_TO_SOT_THT:TO-92_HandSolder","1","","","",""
"Q203","MPSA92","Package_TO_SOT_THT:TO-92_HandSolder","1","","","",""
"Q204","MPSA42","Package_TO_SOT_THT:TO-92_HandSolder","1","","","",""
"Q301","MPSA92","Package_TO_SOT_THT:TO-92_HandSolder","1","","","",""
"Q302","MPSA42","Package_TO_SOT_THT:TO-92_HandSolder","1","","","",""
"Q303","MPSA92","Package_TO_SOT_THT:TO-92_HandSolder","1","","","",""
"Q304","MPSA42","Package_TO_SOT_THT:TO-92_HandSolder","1","","","",""
"R2","0603WAF6201T5E","connectors:C4260","1","","7","0603WAF6201T5E",""
"R3","RC0402FR-07910RL2","connectors:C276279","1","","11","RC0402FR-07910RL",""
"R4","RC0402FR-07910RL2","connectors:C276279","1","","7","RC0402FR-07910RL",""
"R5","0603WAF6201T5E","connectors:C4260","1","","7","0603WAF6201T5E",""
"R6","0603WAF6201T5E","connectors:C4260","1","","7","0603WAF6201T5E",""
"R201","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R202","22K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R203","22K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R204","470","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R205","220K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R206","47","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R207","47","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R208","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R209","220K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R210","220K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R211","5,6K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R212","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R213","4,7K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R301","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R302","22K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R303","22K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R304","470","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R305","220K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R306","47","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R307","47","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R308","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R309","220K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R310","220K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R311","5,6K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R312","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"R313","4,7K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","","",""
"RV201","4,7K","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical","1","","","",""
"RV301","4,7K","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical","1","","","",""
"U101","78L05","Package_TO_SOT_THT:TO-92_HandSolder","1","","","",""
"U102","ICL7660","Package_DIP:DIP-8_W7.62mm_LongPads","1","","","",""
"U201","LM358N","Package_DIP:DIP-8_W7.62mm_LongPads","1","","","",""
"U301","LM358N","Package_DIP:DIP-8_W7.62mm_LongPads","1","","","",""
